料理名,エネルギーkcal,たんぱく質,総量,亜鉛,銅,セレン,レチノール当量,D,トコフェロールa,B1,B2,ナイアシン,B6,B12,C,食塩相当量
白菜と里芋のみそ汁,23.43,1.2,0.9,0.2,0.03,0.18,3.3,0,0,0.0075,0.012,0.2,0.0156,0.009,3,0.5
白菜のすき焼き風煮込み,409.15,36.6,9.8,7.2,0.35,2.98,557.1,1.2,1.7,0.5101,0.6194,16.9,1.1612,2.268,62.88,3.3
白菜スープ,2.84,0.3,0,0,0,0.443,0,0,0,0.002,0.0068,0.1,0.0068,0.004,0,0.9
白菜漬け,0.71,0.1,0,0,0,0.112,0,0,0,0.0005,0.0017,0,0.0017,0.001,0,0.3
秋野菜の煮物,29.11,1.4,2.2,0.3,0.05,0.862,108.95,0.1,0.3,0.042,0.0372,0.7,0.0547,0.006,3.8,1.1
秋野菜汁,49.13,2.7,2.2,0.3,0.06,0.18,61.14,0.2,0.1,0.0345,0.0433,1,0.0448,0.039,3.68,0.8
竹の子の煮物,222.69,9.7,3.6,1.8,0.18,10.38,5.23,0,1.1,0.0823,0.2037,1.7,0.1767,0.138,13.4,10.2
筑前煮,409.99,21.9,11.2,3,0.36,20.38,575.4,0.4,1.8,0.2621,0.2904,6.3,0.5446,0.318,31.18,3.3
肉じゃが,476.45,19.1,8.1,2.3,0.34,7.82,527.6,0.1,0.7,0.6925,0.2954,6.2,0.847,0.204,61.92,8.1
肉まん,2640.68,99.1,16.8,12.9,0.79,133.61,177.2,1.5,6.2,3.3224,1.4548,23.1,1.8162,1.89,31.29,15.4
肉団子の甘酢あんかけ,942.035,43.1,3.6,5.7,0.29,49.615,100.34,1.6,4.3,1.18825,0.65965,9.7,0.75405,1.4445,10.22,6.3
肉豆腐,901.16,67.5,7.1,6.8,0.76,19.82,8,0.2,1.4,2.0934,0.6206,13.6,1.178,0.654,17.04,8.6
肉野菜炒め,573.7,20.6,8.8,2.3,0.27,2.195,330.78,0.1,3.5,0.77185,0.3202,5.3,0.6469,0.215,132.1,1.6
舞茸けんちん汁,12.13,0.7,1,0.1,0.02,0.643,93.8,0.5,0.5,0.0168,0.0358,0.7,0.0301,0.004,2.42,0.9
舞茸丼,179.85,3.6,2.3,0.9,0.21,1.9,1.05,2.2,0,0.068,0.1015,2.6,0.065,0,2.1,0
芋煮汁,10.79,0.6,0.2,0,0.01,0.565,0,0,0,0.004,0.01115,0.2,0.00905,0.008,0,0.9
若竹汁,17.36,0.8,0.4,0.1,0.02,0.16,0,0,0,0.004,0.008,0.1,0.0032,0.008,0,0.5
茎わかめのきんぴら,21.652,0.7,1.5,0.2,0.05,0.242,106.51,0,0.2,0.0195,0.01654,0.2,0.03714,0.0022,0.75,0.3
茶わん蒸し,89.352,9.5,0.7,0.8,0.11,15.313,40.811,0.5,0.8,0.06402,0.15653,3.1,0.15264,0.7498,4.122,1.6
茶碗蒸し,640.07,82,2.9,5.4,0.98,125.415,271.02,4.3,5.7,0.605,1.0351,20.3,0.938,4.547,13.38,5.6
菜の花のごまあえ,1.775,0.2,0,0,0,0.275,0,0,0,0.00125,0.00425,0,0.00425,0.0025,0,0.4
親子丼,663,25,2.3,3.5,0.37,32.66,90.5,1.1,1,0.1804,0.3967,3.7,0.4357,0.671,9.02,2.9
親子煮,4.26,0.5,0,0.1,0,0.661,0,0,0,0.003,0.0102,0.1,0.0102,0.006,0,1
豆腐の中華煮,13.35,0.8,1,0,0.02,0.607,71.7,0.1,0,0.01975,0.03205,0.4,0.04295,0.005,1.88,0.9
豆腐サラダ,320.2,23.7,5.2,2.3,0.6,15.4,154.4,0,3.7,0.398,0.178,2.9,0.462,0,53.8,3.3
豆腐ステーキ,387.84,20.5,1.3,1.9,0.45,12.82,0,0,2.3,0.2163,0.1011,0.4,0.1611,0.006,0,1.2
豆腐丼,913.41,42.6,2.2,6.2,0.61,47.08,93.6,1.4,1.5,0.902,0.5691,6.6,0.5974,1.113,5.2,3.1
豚しゃぶサラダ,314.2,20,3.8,3.3,0.31,2.7,128.5,0.3,2.5,0.791,0.3225,5.2,0.513,0.5,46,0.5
豚の生姜焼き丼,882.86,27.5,1.4,3.3,0.31,25.565,6.8,0.1,2,0.7594,0.2132,8,0.4383,0.318,9.36,3.2
豚の角煮,2218.55,77,0.8,9.8,0.25,71.01,56.05,2.5,2.5,2.5978,0.7548,24.3,1.3292,2.554,7.94,8.3
豚キムチ,469.89,18.3,4.9,2.4,0.12,13.47,26,0.5,1,0.6091,0.2497,5.4,0.5652,0.5,78.26,1.2
豚丼,905.83,22.7,1.6,3.6,0.32,17.95,11,0.5,0.5,0.5831,0.1903,5.4,0.3776,0.518,4.76,2.7
豚汁,310.25,17.5,8.1,2.2,0.49,2.84,527.6,0.4,0.8,0.7041,0.3556,8.3,0.8542,0.15,61.92,1.9
豚肉とれんこんの黒酢いため,25.364,1.3,1.5,0.2,0.04,0.816,86.67,0.1,0.1,0.0497,0.02948,0.7,0.04628,0.0034,12.24,0.7
車麩の揚げ煮,7.178,0.3,0,0,0,0.44,0,0,0,0.002,0.0068,0.1,0.00698,0.004,0,0.6
酢豚,1068.04,49.4,6.2,5.2,0.34,11.64,550.76,0.2,5.8,1.9576,0.606,14.6,1.1934,0.784,60.94,10.1
里芋といかの煮付け,251.77,27.1,2.3,2.1,0.43,40.37,5.2,0,3.5,0.0965,0.0919,4.1,0.3277,3.017,7.3,4.8
里芋のそぼろあんかけ,344.55,18.7,2.3,1.5,0.19,18.56,29.6,0.1,1.3,0.16,0.2172,6.2,0.6395,0.276,6.8,5.7
里芋の田楽,95.74,3.1,2.7,0.8,0.23,0.72,0.08,0,0.4,0.0842,0.0364,1.2,0.1436,0.006,3.6,0.4
野菜たっぷり汁,39.86,1.3,1.6,0.1,0.05,0.18,56.8,0,0,0.0228,0.0195,0.3,0.0553,0.009,4.02,0.5
野菜と豚肉の味噌炒め,610.53,17.5,3.3,2.1,0.15,14.33,33.92,0.5,2.9,0.5667,0.1987,5.6,0.3746,0.503,43.4,2.1
野菜のかき揚げ,316.435,3.2,3.2,0.4,0.09,1.9,280.8,0,2.5,0.0819,0.04,0.5,0.1966,0,9.86,0
野菜チップス,27.76,0.5,0.9,0,0.04,0.003,48.8,0,0.4,0.0276,0.016,0.3,0.0614,0,6.84,0.3
野菜汁,49.13,2.7,2.2,0.3,0.06,0.18,61.14,0.2,0.1,0.0345,0.0433,1,0.0448,0.039,3.68,0.8
鉄火みそ,13.02,0.6,0.3,0.1,0.01,0.12,0,0,0,0.003,0.006,0.1,0.0024,0.006,0,0.4
鉄火丼,522.8,24.1,1.9,2.2,0.32,4.235,47.24,2.8,0.8,0.136,0.1423,8.8,0.8461,2.3545,2.39,2
錦糸玉子,290.595,20.3,0,2.1,0.13,52.8,247.5,3,2.3,0.099,0.7095,0.2,0.132,1.485,0,0.7
雑煮,263.05,11.8,1.4,1.5,0.11,10,128,0.2,0.5,0.0885,0.106,3.2,0.187,0.24,8.4,1.9
風味漬け,0.355,0,0,0,0,0.058,0,0,0,0.00025,0.00085,0,0.00085,0.0005,0,0.4
餃子,294.703,14.4,3.6,1.9,0.15,10.026,60.608,0.2,1.4,0.43996,0.20008,4.1,0.41082,0.305,33.11,0.8
餃子スープ,18,1.5,0.5,0.1,0.02,3.7,1.4,0,0,0.0115,0.018,0.4,0.027,0.07,2.8,2
鮎の唐揚げ,238.005,19.9,1,1.1,0.08,0.305,91.8,8.8,6.6,0.1815,0.1765,4,0.3335,2.86,23.2,0.6
鮭のかす汁,36.43,1.9,2.5,0.3,0.06,0.18,182,0,1.6,0.0165,0.034,0.2,0.0516,0.009,6.8,0.5
鮭のホイル焼き,855.48,73.3,3.6,2.8,0.35,102.145,181.6,54.7,6.8,0.6827,0.6544,23.2,1.3979,18.73,11.12,1.1
鮭親子丼,1063.03,107,0.8,4.5,0.79,127.73,143.12,141.2,7.5,0.8135,1.0633,27.6,2.6433,37.799,5.8,2.8
鯛飯,1253.73,40.5,4.9,5.3,0.72,6.975,109.5,4,2.2,0.424,0.4412,9.4,0.8143,3.706,8.1,3.4
鶏の唐揚げ,239.385,21.5,0.4,2.1,0.05,22.06,16,0.2,1.2,0.1468,0.2408,5.9,0.46475,0.327,3.84,4.1
鶏皮ときゅうりの和え物,385.89,5.8,1.5,0.6,0.17,6.745,102.39,0.2,0.5,0.0522,0.072,2.2,0.0986,0.183,14.6,2
鶏肉とアスパラの中華炒め,1.704,0.2,0,0,0,0.264,0,0,0,0.0012,0.00408,0,0.00408,0.0024,0,0.3
鶏肉とエリンギの炒め物,246.53,13.6,5.3,1.8,0.18,12.515,8,1.3,2.1,0.2115,0.3293,9,0.5525,0.15,9.86,0.6
鶏肉と大豆のチリソース煮,36.732,2.7,1.4,0.3,0.04,0.634,0.24,0,0.2,0.03502,0.02012,0.1,0.05132,0.003,1.284,0.4
鶏肉と里芋の煮物,393.08,22.1,4.3,2.3,0.23,21.76,572.65,0.4,1.6,0.2476,0.2875,6.8,0.5285,0.336,21.18,6.1
鶏肉のクリームソース,27.9,0.9,2.1,0.3,0.05,0.209,142,0.1,0.1,0.045,0.028,0.7,0.09,0,3.8,0.9
鶏肉のトマト煮,616.23,43.1,8.2,4.4,0.69,35.88,233.9,0.8,9,0.5945,0.6734,14.4,1.1798,0.605,66.8,4.4
鶏肉の豆腐ハンバーグ,320.39,27.5,1.6,2,0.24,27.71,64,0.4,1.3,0.1954,0.2911,6.1,0.6863,0.465,5.06,0.7
鶏肉の野菜ソースがけ,4.539,0.3,0.1,0,0,0.319,0,0,0,0.00385,0.00573,0,0.01373,0.0029,0.4,0.4
鶏雑炊,423.25,21.2,0.5,2.3,0.17,57.08,102.92,1.2,1,0.155,0.3945,8.5,0.3086,2.263,2.34,3.3
麻婆茄子丼,455.09,19,6.2,2.9,0.21,18.07,34.92,0.3,1.3,0.69135,0.316,5.8,0.7014,0.521,17.14,3.8
麻婆麺,828.085,44.1,5.6,4.7,0.65,51.26,23.4,0.3,1.6,0.8324,0.35185,5.6,0.67495,0.521,10.34,5.9
